site,run,day,round,plot,treatment,plant_id,animal_order,animal_family,animal_genus,animal_species,morphospecies,precision,frequency,caught,second_visit,cdate,ctime,cdate.time,lower,higher,link,freq,experiment,time.of.day,norm.time,abundance,C.abun,focal.abun,vis.rates,plot.temp,plot.rad,round.temp,round.rad,C.prop,meta.freq,group
Freiburg,1,1,1,T5,yes,Pla_lan,Hymenoptera,Apidae,Apis,Apis_mellifera,Apis_mellifera,ID-in-field,1,no,NA,2018-07-01,08:06:00,2018-07-01 08:06,Pla_lan,Apis_mellifera,Pla_lan-Apis_mellifera,1,EX1,morning,0.158328408,8,130,130,0.125,24,27.25,25.37931034,33.59626437,0.524216524,351,generalist
Freiburg,1,1,1,T5,yes,Cre_cap,Coleoptera,Endomychidae,NA,NA,Endomychidae_sp2,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Endomychidae_sp2,Cre_cap-Endomychidae_sp2,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,1,2,specialist
Freiburg,1,1,1,T5,yes,Cre_cap,Hymenoptera,Apidae,Halictus,Halictus_scabiosae,Halictus_scabiosae,ID-in-field,1,no,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Halictus_scabiosae,Cre_cap-Halictus_scabiosae,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,0.479166667,48,generalist
Freiburg,1,1,1,T5,yes,Cre_cap,Hymenoptera,Apidae,Lasioglossum,Lasioglossum_malachurum,Lasioglossum_malachurum,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Lasioglossum_malachurum,Cre_cap-Lasioglossum_malachurum,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,0.966666667,30,specialist
Freiburg,1,1,1,T5,yes,Cre_cap,Hymenoptera,Apidae,Lasioglossum,Lasioglossum_malachurum,Lasioglossum_malachurum,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Lasioglossum_malachurum,Cre_cap-Lasioglossum_malachurum,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,0.966666667,30,specialist
Freiburg,1,1,1,T5,yes,Cre_cap,Diptera,Syrphidae,Scaeva,Scaeva_pyrastri,Scaeva_pyrastri,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Scaeva_pyrastri,Cre_cap-Scaeva_pyrastri,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,1,1,specialist
Freiburg,1,1,1,T5,yes,Pla_lan,Diptera,Syrphidae,Scaeva,Scaeva_pyrastri,Scaeva_pyrastri,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Pla_lan,Scaeva_pyrastri,Pla_lan-Scaeva_pyrastri,1,EX1,morning,0.158328408,8,130,130,0.125,24,27.25,25.37931034,33.59626437,1,1,specialist
Freiburg,1,1,1,T5,yes,Cre_cap,Diptera,Syrphidae,Sphaerophoria,Sphaerophoria_scripta,Sphaerophoria_scripta,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Sphaerophoria_scripta,Cre_cap-Sphaerophoria_scripta,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,0.578947368,76,generalist
Freiburg,1,1,1,T5,yes,Cre_cap,Diptera,Syrphidae,Sphaerophoria,Sphaerophoria_scripta,Sphaerophoria_scripta,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,Sphaerophoria_scripta,Cre_cap-Sphaerophoria_scripta,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,0.578947368,76,generalist
Freiburg,1,1,1,T5,yes,Cre_cap,Diptera,Syrphidae,NA,NA,NA,caught,1,yes,NA,2018-07-01,08:06:00,2018-07-01 08:06,Cre_cap,NA,NA,1,EX1,morning,0.158328408,130,130,130,0.007692308,24,27.25,25.37931034,33.59626437,NA,NA,NA
